x y z
8.666667 2.4 0.9342827
9.333333 2.4 0.5274222
10.0 2.4 0.3008678
-10.0 3.0 0.2482553
-9.333333 3.0 0.4052744
-8.666667 3.0 0.6627768
-8.0 3.0 1.053459
-7.333333 3.0 1.580539
-6.666667 3.0 2.200885
-6.0 3.0 2.841368
-5.333333 3.0 3.43662
-4.666667 3.0 3.952221
-4.0 3.0 4.380909
-3.333333 3.0 4.728773
-2.666667 3.0 5.004589
-2.0 3.0 5.215636
-1.333333 3.0 5.366587
-0.6666667 3.0 5.45954
0.0 3.0 5.496842
0.6666667 3.0 5.47994
1.333333 3.0 5.408306
2.0 3.0 5.279129
2.666667 3.0 5.090609
3.333333 3.0 4.838752
4.0 3.0 4.517341
4.666667 3.0 4.117928
5.333333 3.0 3.632799
6.0 3.0 3.062629
6.666667 3.0 2.430496
7.333333 3.0 1.791685
8.0 3.0 1.221314
8.666667 3.0 0.7781492
9.333333 3.0 0.475891
10.0 3.0 0.2889104
-10.0 3.6 0.2204081
-9.333333 3.6 0.3444584
-8.666667 3.6 0.5319983
-8.0 3.6 0.7972195
-7.333333 3.6 1.138211
-6.666667 3.6 1.531338
-6.0 3.6 1.938786
-5.333333 3.6 2.325027
-4.666667 3.6 2.667844
-4.0 3.6 2.95908
-3.333333 3.6 3.198947
-2.666667 3.6 3.390867
-2.0 3.6 3.538482
-1.333333 3.6 3.644489
-0.6666667 3.6 3.71017
0.0 3.6 3.736155
0.6666667 3.6 3.724258
1.333333 3.6 3.673508
2.0 3.6 3.582348
2.666667 3.6 3.450046
3.333333 3.6 3.274267
4.0 3.6 3.051701
4.666667 3.6 2.778638
5.333333 3.6 2.453273
6.0 3.6 2.08003
6.666667 3.6 1.675536
7.333333 3.6 1.271396
8.0 3.6 0.9066786
8.666667 3.6 0.6122238
9.333333 3.6 0.3980059
10.0 3.6 0.2543299
-10.0 4.2 0.1838858
-9.333333 4.2 0.2771281
-8.666667 4.2 0.4092346
-8.0 4.2 0.5862143
-7.333333 4.2 0.8051965
-6.666667 4.2 1.05322
-6.0 4.2 1.310721
-5.333333 4.2 1.558443
-4.666667 4.2 1.782853
-4.0 4.2 1.977266
-3.333333 4.2 2.139906
-2.666667 4.2 2.271504
-2.0 4.2 2.373507
-1.333333 4.2 2.447289
-0.6666667 4.2 2.493531
0.0 4.2 2.511814
0.6666667 4.2 2.503491
1.333333 4.2 2.467365
2.0 4.2 2.403588
2.666667 4.2 2.311795
3.333333 4.2 2.190837
4.0 4.2 2.039175
4.666667 4.2 1.855768
5.333333 4.2 1.641156
6.0 4.2 1.400049
6.666667 4.2 1.143357
7.333333 4.2 0.8888792
8.0 4.2 0.6568936
8.666667 4.2 0.4637973
9.333333 4.2 0.3159374
10.0 4.2 0.2104237
-10.0 4.8 0.1465691
-9.333333 4.8 0.2141814
-8.666667 4.8 0.3060683
-8.0 4.8 0.423512
-7.333333 4.8 0.564624
-6.666667 4.8 0.7220645
-6.0 4.8 0.8855792
-5.333333 4.8 1.044609
-4.666667 4.8 1.191091
-4.0 4.8 1.3202
-3.333333 4.8 1.429845
-2.666667 4.8 1.519718
-2.0 4.8 1.590094
-1.333333 4.8 1.641509
-0.6666667 4.8 1.674259
0.0 4.8 1.687902
0.6666667 4.8 1.681492
1.333333 4.8 1.655482
2.0 4.8 1.610749
2.666667 4.8 1.547164
3.333333 4.8 1.464192
4.0 4.8 1.361441
4.666667 4.8 1.238839
5.333333 4.8 1.097933
6.0 4.8 0.9422293
6.666667 4.8 0.7788487
7.333333 4.8 0.6175863
8.0 4.8 0.4692901
8.666667 4.8 0.3426296
9.333333 4.8 0.2419585
10.0 4.8 0.1663461
-10.0 5.4 0.1122685
-9.333333 5.4 0.1609164
-8.666667 5.4 0.2240174
-8.0 5.4 0.3022363
-7.333333 5.4 0.3941571
-6.666667 5.4 0.4954309
-6.0 5.4 0.6003844
-5.333333 5.4 0.7033753
-4.666667 5.4 0.7995393
-4.0 5.4 0.8855408
-3.333333 5.4 0.9597116
-2.666667 5.4 1.021269
-2.0 5.4 1.07012
-1.333333 5.4 1.106283
-0.6666667 5.4 1.129829
0.0 5.4 1.140335
0.6666667 5.4 1.135162
1.333333 5.4 1.116172
2.0 5.4 1.084473
2.666667 5.4 1.040128
3.333333 5.4 0.9830036
4.0 5.4 0.913163
4.666667 5.4 0.8310089
5.333333 5.4 0.7379918
6.0 5.4 0.6367201
6.666667 5.4 0.5315098
7.333333 5.4 0.4281147
8.0 5.4 0.332254
8.666667 5.4 0.2486035
9.333333 5.4 0.1799244
10.0 5.4 0.1265415
-10.0 6.0 0.08256427
-9.333333 6.0 0.1171828
-8.666667 6.0 0.1606875
-8.0 6.0 0.2132723
-7.333333 6.0 0.2736769
-6.666667 6.0 0.3398161
-6.0 6.0 0.4084271
-5.333333 6.0 0.4760785
-4.666667 6.0 0.5398255
-4.0 6.0 0.5976839
-3.333333 6.0 0.6482407
-2.666667 6.0 0.6908411
-2.0 6.0 0.7251106
-1.333333 6.0 0.7509515
-0.6666667 6.0 0.7682279
0.0 6.0 0.7753484
0.6666667 6.0 0.7720318
1.333333 6.0 0.7580726
2.0 6.0 0.7352884
2.666667 6.0 0.7039437
3.333333 6.0 0.6642186
4.0 6.0 0.6163064
4.666667 6.0 0.5608035
5.333333 6.0 0.4986586
6.0 6.0 0.4320847
6.666667 6.0 0.3634562
7.333333 6.0 0.2960196
8.0 6.0 0.2330416
8.666667 6.0 0.1771468
9.333333 6.0 0.1303301
10.0 6.0 0.0927973
-10.0 6.6 0.05770063
-9.333333 6.6 0.08213522
-8.666667 6.6 0.1122391
-8.0 6.6 0.1479689
-7.333333 6.6 0.1884099
-6.666667 6.6 0.2322938
-6.0 6.6 0.2777803
-5.333333 6.6 0.3227254
-4.666667 6.6 0.3655744
-4.0 6.6 0.4050016
-3.333333 6.6 0.4400368
-2.666667 6.6 0.469804
-2.0 6.6 0.4942373
-1.333333 6.6 0.5130238
-0.6666667 6.6 0.5247843
0.0 6.6 0.5292438
0.6666667 6.6 0.5271413
1.333333 6.6 0.5180981
2.0 6.6 0.5015913
2.666667 6.6 0.4790806
3.333333 6.6 0.4509441
4.0 6.6 0.41784
4.666667 6.6 0.3799355
5.333333 6.6 0.3376755
6.0 6.6 0.2930879
6.666667 6.6 0.2475644
7.333333 6.6 0.2028541
8.0 6.6 0.1609488
8.666667 6.6 0.1234513
9.333333 6.6 0.09131499
10.0 6.6 0.06497848
-10.0 7.2 0.03712747
-9.333333 7.2 0.05415295
-8.666667 7.2 0.07494164
-8.0 7.2 0.09923147
-7.333333 7.2 0.1266098
-6.666667 7.2 0.1560763
-6.0 7.2 0.1867909
-5.333333 7.2 0.2172006
-4.666667 7.2 0.2465411
-4.0 7.2 0.2738459
-3.333333 7.2 0.2983063
-2.666667 7.2 0.3193993
-2.0 7.2 0.3372122
-1.333333 7.2 0.3493456
-0.6666667 7.2 0.3564738
0.0 7.2 0.3594509
0.6666667 7.2 0.3580038
1.333333 7.2 0.3525369
2.0 7.2 0.3419328
2.666667 7.2 0.32621
3.333333 7.2 0.3056866
4.0 7.2 0.2824697
4.666667 7.2 0.256137
5.333333 7.2 0.2273931
6.0 7.2 0.1970751
6.666667 7.2 0.1662669
7.333333 7.2 0.1361803
8.0 7.2 0.1079777
8.666667 7.2 0.08252418
9.333333 7.2 0.06049295
10.0 7.2 0.04216113
-10.0 7.8 0.02027184
-9.333333 7.8 0.03163057
-8.666667 7.8 0.04558031
-8.0 7.8 0.06197819
-7.333333 7.8 0.08041491
-6.666667 7.8 0.1004088
-6.0 7.8 0.1211769
-5.333333 7.8 0.142065
-4.666667 7.8 0.1624017
-4.0 7.8 0.1815589
-3.333333 7.8 0.1989426
-2.666667 7.8 0.2136277
-2.0 7.8 0.2244171
-1.333333 7.8 0.2313441
-0.6666667 7.8 0.235826
0.0 7.8 0.2374826
0.6666667 7.8 0.2367782
1.333333 7.8 0.2333
2.0 7.8 0.2272257
2.666667 7.8 0.2175917
3.333333 7.8 0.2041477
4.0 7.8 0.1875616
4.666667 7.8 0.1690371
5.333333 7.8 0.1490784
6.0 7.8 0.1283851
6.666667 7.8 0.1074167
7.333333 7.8 0.08695698
8.0 7.8 0.06786571
8.666667 7.8 0.05067601
9.333333 7.8 0.03580507
10.0 7.8 0.02351744
-10.0 8.4 0.007759349
-9.333333 8.4 0.01374509
-8.666667 8.4 0.02188204
-8.0 8.4 0.03217819
-7.333333 8.4 0.04409851
-6.666667 8.4 0.05725358
-6.0 8.4 0.07109395
-5.333333 8.4 0.08527334
-4.666667 8.4 0.09902794
-4.0 8.4 0.1113731
-3.333333 8.4 0.121466
-2.666667 8.4 0.1290589
-2.0 8.4 0.1345117
-1.333333 8.4 0.1382655
-0.6666667 8.4 0.1405613
0.0 8.4 0.1414235
0.6666667 8.4 0.1409815
1.333333 8.4 0.1390907
2.0 8.4 0.1357201
2.666667 8.4 0.1308935
3.333333 8.4 0.1242105
4.0 8.4 0.1149211
4.666667 8.4 0.1033049
5.333333 8.4 0.08978729
6.0 8.4 0.0756449
6.666667 8.4 0.06162019
7.333333 8.4 0.04813903
8.0 8.4 0.03571615
8.666667 8.4 0.02481682
9.333333 8.4 0.01587931
10.0 8.4 0.009173479
-10.0 9.0 0.001393463
-9.333333 9.0 0.003217259
-8.666667 9.0 0.006091848
-8.0 9.0 0.01002323
-7.333333 9.0 0.01480126
-6.666667 9.0 0.02028843
-6.0 9.0 0.02612893
-5.333333 9.0 0.0316795
-4.666667 9.0 0.03652164
-4.0 9.0 0.04020535
-3.333333 9.0 0.0429776
-2.666667 9.0 0.04520625
-2.0 9.0 0.04674191
-1.333333 9.0 0.04782397
-0.6666667 9.0 0.04853383
0.0 9.0 0.04873342
0.6666667 9.0 0.04850169
1.333333 9.0 0.04788985
2.0 9.0 0.04694485
2.666667 9.0 0.04542207
3.333333 9.0 0.04340929
4.0 9.0 0.04073554
4.666667 9.0 0.03744868
5.333333 9.0 0.03293125
6.0 9.0 0.02755614
6.666667 9.0 0.02182807
7.333333 9.0 0.01620857
8.0 9.0 0.01114816
8.666667 9.0 0.006948262
9.333333 9.0 0.003767119
10.0 9.0 0.001658162
-10.0 9.6 3.167412e-05
-9.333333 9.6 8.653409e-05
-8.666667 9.6 0.0001779646
-8.0 9.6 0.0004050938
-7.333333 9.6 0.0007459125
-6.666667 9.6 0.00108141
-6.0 9.6 0.00129823
-5.333333 9.6 0.001457589
-4.666667 9.6 0.001585616
-4.0 9.6 0.001718576
-3.333333 9.6 0.001760296
-2.666667 9.6 0.001849568
-2.0 9.6 0.001920703
-1.333333 9.6 0.001919171
-0.6666667 9.6 0.001947214
0.0 9.6 0.001944987
0.6666667 9.6 0.001942442
1.333333 9.6 0.001886114
2.0 9.6 0.001836621
2.666667 9.6 0.001733138
3.333333 9.6 0.00167178
4.0 9.6 0.001531477
4.666667 9.6 0.001407477
5.333333 9.6 0.001289539
6.0 9.6 0.001137674
6.666667 9.6 0.0009163668
7.333333 9.6 0.0006251975
8.0 9.6 0.0002933741
8.666667 9.6 5.796194e-05
9.333333 9.6 0.0
10.0 9.6 0.0
-10.0 10.2 0.0
-9.333333 10.2 0.0
-8.666667 10.2 0.0
-8.0 10.2 0.0
-7.333333 10.2 0.0
-6.666667 10.2 0.0
-6.0 10.2 0.0
-5.333333 10.2 0.0
-4.666667 10.2 0.0
-4.0 10.2 0.0
-3.333333 10.2 0.0
-2.666667 10.2 0.0
-2.0 10.2 0.0
-1.333333 10.2 0.0
-0.6666667 10.2 0.0
0.0 10.2 0.0
0.6666667 10.2 0.0
1.333333 10.2 0.0
2.0 10.2 0.0
2.666667 10.2 0.0
3.333333 10.2 0.0
4.0 10.2 0.0
4.666667 10.2 0.0
5.333333 10.2 0.0
6.0 10.2 0.0
6.666667 10.2 0.0
7.333333 10.2 0.0
8.0 10.2 0.0
8.666667 10.2 0.0
9.333333 10.2 0.0
10.0 10.2 0.0
-10.0 10.8 0.0
-9.333333 10.8 0.0
-8.666667 10.8 0.0
-8.0 10.8 0.0
-7.333333 10.8 0.0
-6.666667 10.8 0.0
-6.0 10.8 0.0
-5.333333 10.8 0.0
-4.666667 10.8 0.0
-4.0 10.8 0.0
-3.333333 10.8 0.0
-2.666667 10.8 0.0
-2.0 10.8 0.0
-1.333333 10.8 0.0
-0.6666667 10.8 0.0
0.0 10.8 0.0
0.6666667 10.8 0.0
1.333333 10.8 0.0
2.0 10.8 0.0
2.666667 10.8 0.0
3.333333 10.8 0.0
4.0 10.8 0.0
4.666667 10.8 0.0
5.333333 10.8 0.0
6.0 10.8 0.0
6.666667 10.8 0.0
7.333333 10.8 0.0
8.0 10.8 0.0
8.666667 10.8 0.0
9.333333 10.8 0.0
10.0 10.8 0.0
-10.0 11.4 0.0
-9.333333 11.4 0.0
-8.666667 11.4 0.0
-8.0 11.4 0.0
-7.333333 11.4 0.0
-6.666667 11.4 0.0
-6.0 11.4 0.0
-5.333333 11.4 0.0
-4.666667 11.4 0.0
-4.0 11.4 0.0
-3.333333 11.4 0.0
-2.666667 11.4 0.0
-2.0 11.4 0.0
-1.333333 11.4 0.0
-0.6666667 11.4 0.0
0.0 11.4 0.0
0.6666667 11.4 0.0
1.333333 11.4 0.0
2.0 11.4 0.0
2.666667 11.4 0.0
3.333333 11.4 0.0
4.0 11.4 0.0
4.666667 11.4 0.0
5.333333 11.4 0.0
6.0 11.4 0.0
6.666667 11.4 0.0
7.333333 11.4 0.0
8.0 11.4 0.0
8.666667 11.4 0.0
9.333333 11.4 0.0
10.0 11.4 0.0
-10.0 12.0 0.0
-9.333333 12.0 0.0
-8.666667 12.0 0.0
-8.0 12.0 0.0
-7.333333 12.0 0.0
-6.666667 12.0 0.0
-6.0 12.0 0.0
-5.333333 12.0 0.0
-4.666667 12.0 0.0
-4.0 12.0 0.0
-3.333333 12.0 0.0
-2.666667 12.0 0.0
-2.0 12.0 0.0
-1.333333 12.0 0.0
-0.6666667 12.0 0.0
0.0 12.0 0.0
0.6666667 12.0 0.0
1.333333 12.0 0.0
2.0 12.0 0.0
2.666667 12.0 0.0
3.333333 12.0 0.0
4.0 12.0 0.0
4.666667 12.0 0.0
5.333333 12.0 0.0
6.0 12.0 0.0
6.666667 12.0 0.0
7.333333 12.0 0.0
8.0 12.0 0.0
8.666667 12.0 0.0
9.333333 12.0 0.0
10.0 12.0 0.0
-10.0 12.6 0.0
-9.333333 12.6 0.0
-8.666667 12.6 0.0
-8.0 12.6 0.0
-7.333333 12.6 0.0
-6.666667 12.6 0.0
-6.0 12.6 0.0
-5.333333 12.6 0.0
-4.666667 12.6 0.0
-4.0 12.6 0.0
-3.333333 12.6 0.0
-2.666667 12.6 0.0
-2.0 12.6 0.0
-1.333333 12.6 0.0
-0.6666667 12.6 0.0
0.0 12.6 0.0
0.6666667 12.6 0.0
1.333333 12.6 0.0
2.0 12.6 0.0
2.666667 12.6 0.0
3.333333 12.6 0.0
4.0 12.6 0.0
4.666667 12.6 0.0
5.333333 12.6 0.0
6.0 12.6 0.0
6.666667 12.6 0.0
7.333333 12.6 0.0
8.0 12.6 0.0
8.666667 12.6 0.0
9.333333 12.6 0.0
10.0 12.6 0.0
-10.0 13.2 0.0
-9.333333 13.2 0.0
-8.666667 13.2 0.0
-8.0 13.2 0.0
-7.333333 13.2 0.0
-6.666667 13.2 0.0
-6.0 13.2 0.0
-5.333333 13.2 0.0
-4.666667 13.2 0.0
-4.0 13.2 0.0
-3.333333 13.2 0.0
-2.666667 13.2 0.0
-2.0 13.2 0.0
-1.333333 13.2 0.0
-0.6666667 13.2 0.0
0.0 13.2 0.0
0.6666667 13.2 0.0
1.333333 13.2 0.0
2.0 13.2 0.0
2.666667 13.2 0.0
3.333333 13.2 0.0
4.0 13.2 0.0
4.666667 13.2 0.0
5.333333 13.2 0.0
6.0 13.2 0.0
6.666667 13.2 0.0
7.333333 13.2 0.0
8.0 13.2 0.0
8.666667 13.2 0.0
9.333333 13.2 0.0
10.0 13.2 0.0
-10.0 13.8 0.0
-9.333333 13.8 0.0
-8.666667 13.8 0.0
-8.0 13.8 0.0
-7.333333 13.8 0.0
-6.666667 13.8 0.0
-6.0 13.8 0.0
-5.333333 13.8 0.0
-4.666667 13.8 0.0
-4.0 13.8 0.0
-3.333333 13.8 0.0
-2.666667 13.8 0.0
-2.0 13.8 0.0
-1.333333 13.8 0.0
-0.6666667 13.8 0.0
0.0 13.8 0.0
0.6666667 13.8 0.0
1.333333 13.8 0.0
2.0 13.8 0.0
2.666667 13.8 0.0
3.333333 13.8 0.0
4.0 13.8 0.0
4.666667 13.8 0.0
5.333333 13.8 0.0
6.0 13.8 0.0
6.666667 13.8 0.0
7.333333 13.8 0.0
8.0 13.8 0.0
8.666667 13.8 0.0
9.333333 13.8 0.0
10.0 13.8 0.0
-10.0 14.4 0.0
-9.333333 14.4 0.0
-8.666667 14.4 0.0
-8.0 14.4 0.0
-7.333333 14.4 0.0
-6.666667 14.4 0.0
-6.0 14.4 0.0
-5.333333 14.4 0.0
-4.666667 14.4 0.0
-4.0 14.4 0.0
-3.333333 14.4 0.0
-2.666667 14.4 0.0
-2.0 14.4 0.0
-1.333333 14.4 0.0
-0.6666667 14.4 0.0
0.0 14.4 0.0
0.6666667 14.4 0.0
1.333333 14.4 0.0
2.0 14.4 0.0
2.666667 14.4 0.0
3.333333 14.4 0.0
4.0 14.4 0.0
4.666667 14.4 0.0
5.333333 14.4 0.0
6.0 14.4 0.0
6.666667 14.4 0.0
7.333333 14.4 0.0
8.0 14.4 0.0
8.666667 14.4 0.0
9.333333 14.4 0.0
10.0 14.4 0.0
-10.0 15.0 0.0
-9.333333 15.0 0.0
-8.666667 15.0 0.0
-8.0 15.0 0.0
-7.333333 15.0 0.0
-6.666667 15.0 0.0
-6.0 15.0 0.0
-5.333333 15.0 0.0
-4.666667 15.0 0.0
-4.0 15.0 0.0
-3.333333 15.0 0.0
-2.666667 15.0 0.0
-2.0 15.0 0.0
-1.333333 15.0 0.0
-0.6666667 15.0 0.0
0.0 15.0 0.0
0.6666667 15.0 0.0
1.333333 15.0 0.0
2.0 15.0 0.0
2.666667 15.0 0.0
3.333333 15.0 0.0
4.0 15.0 0.0
4.666667 15.0 0.0
5.333333 15.0 0.0
6.0 15.0 0.0
6.666667 15.0 0.0
7.333333 15.0 0.0
8.0 15.0 0.0
8.666667 15.0 0.0
9.333333 15.0 0.0
10.0 15.0 0.0
